DATE,TIME,DATE & TIME,IMPORT,EXPORT,NORMALISED GHI,GHI,AIR TEMP,CLOUD OPACITY,RELATIVE HUMIDITY,WIND DIRECTION (10m),WIND SPEED (10m)
1-Apr-22,0:00:00,1/4/2022 0:00,0.694,0,0,0,26.1,50.7,78.8,329,2.9
1-Apr-22,0:30:00,1/4/2022 0:30,0.408,0,0,0,25.9,62.1,79.6,328,3
1-Apr-22,1:00:00,1/4/2022 1:00,0.588,0,0,0,25.8,42.3,80.3,327,3.1
1-Apr-22,1:30:00,1/4/2022 1:30,0.333,0,0,0,25.7,45.5,80.5,325,3.2
1-Apr-22,2:00:00,1/4/2022 2:00,0.573,0,0,0,25.5,65.6,80.2,322,3.1
1-Apr-22,2:30:00,1/4/2022 2:30,0.385,0,0,0,25.5,30.2,80,320,3.1
1-Apr-22,3:00:00,1/4/2022 3:00,0.317,0,0,0,25.5,18.9,79.8,319,3.2
1-Apr-22,3:30:00,1/4/2022 3:30,0.277,0,0,0,25.4,19.3,79.9,319,3.2
1-Apr-22,4:00:00,1/4/2022 4:00,0.294,0,0,0,25.3,19.9,80.2,320,3.2
1-Apr-22,4:30:00,1/4/2022 4:30,0.273,0,0,0,25.2,20.6,80.6,322,3.1
1-Apr-22,5:00:00,1/4/2022 5:00,0.293,0,0,0,25.1,20,80.9,325,3
1-Apr-22,5:30:00,1/4/2022 5:30,0.249,0,0,0,25,17,81.5,326,2.9
1-Apr-22,6:00:00,1/4/2022 6:00,0.316,0,0,0,24.8,15.3,82.2,327,2.9
1-Apr-22,6:30:00,1/4/2022 6:30,0.24,0,0,0,24.7,16.6,82.8,327,3
1-Apr-22,7:00:00,1/4/2022 7:00,0.195,0,0,0,24.6,15.5,83.3,328,3
1-Apr-22,7:30:00,1/4/2022 7:30,0.266,0,0.0093,6,24.7,15.5,83.4,332,2.9
1-Apr-22,8:00:00,1/4/2022 8:00,0.197,0,0.1086,70,25,6.8,83.1,340,2.8
1-Apr-22,8:30:00,1/4/2022 8:30,0.016,0.093,0.2839,183,25.6,0,81.1,343,2.8
1-Apr-22,9:00:00,1/4/2022 9:00,0.001,0.365,0.4778,308,26.5,0,77.6,341,2.7
1-Apr-22,9:30:00,1/4/2022 9:30,0,0.619,0.6733,434,27.4,0,74.4,339,2.7
1-Apr-22,10:00:00,1/4/2022 10:00,0,0.827,0.861,555,28.3,0,71.6,337,2.7
1-Apr-22,10:30:00,1/4/2022 10:30,0,1.004,1.0332,666,29.1,0,68.6,331,2.6
1-Apr-22,11:00:00,1/4/2022 11:00,0,1.15,1.1914,768,29.8,0,65.5,319,2.4
1-Apr-22,11:30:00,1/4/2022 11:30,0.023,1.137,1.3311,858,30.4,0,63.4,306,2.4
1-Apr-22,12:00:00,1/4/2022 12:00,0,1.262,1.4396,928,30.8,0,61.9,294,2.5
1-Apr-22,12:30:00,1/4/2022 12:30,0,1.406,1.5157,977,31.1,0,61,284,2.8
1-Apr-22,13:00:00,1/4/2022 13:00,0,1.556,1.556,1003,31.3,0.3,60.3,276,3.2
1-Apr-22,13:30:00,1/4/2022 13:30,0.004,1.302,1.4676,946,31.4,6.9,60.2,271,3.6
1-Apr-22,14:00:00,1/4/2022 14:00,0.048,0.489,1.3947,899,31.4,10.5,60.6,268,3.9
1-Apr-22,14:30:00,1/4/2022 14:30,0.001,0.371,1.4319,923,31.3,5.2,61.5,266,4.2
1-Apr-22,15:00:00,1/4/2022 15:00,0,0.233,1.4319,923,31.1,0.2,62.8,265,4.6
1-Apr-22,15:30:00,1/4/2022 15:30,0,0.274,1.3217,852,31,0.6,63.8,264,4.7
1-Apr-22,16:00:00,1/4/2022 16:00,0,0.481,1.1682,753,30.8,2.7,64.7,263,4.7
1-Apr-22,16:30:00,1/4/2022 16:30,0,1.083,0.8889,573,30.6,15.6,65.5,264,4.6
1-Apr-22,17:00:00,1/4/2022 17:00,0,0.519,0.4297,277,30.5,51.6,66.2,267,4.4
1-Apr-22,17:30:00,1/4/2022 17:30,0,0.263,0.1629,105,30.2,77,68,271,4.3
1-Apr-22,18:00:00,1/4/2022 18:00,0.025,0.047,0.0372,24,29.7,92.6,70.9,275,4.3
1-Apr-22,18:30:00,1/4/2022 18:30,0.177,0,0.0233,15,29.1,92,74.2,280,4.1
1-Apr-22,19:00:00,1/4/2022 19:00,0.302,0,0.0186,12,28.3,82.1,77.8,286,3.7
1-Apr-22,19:30:00,1/4/2022 19:30,1.055,0,0.0047,3,27.7,60.9,80.2,295,3.4
