DATE,TIME,DATE & TIME,IMPORT,EXPORT,NORMALISED GHI,GHI,AIR TEMP,CLOUD OPACITY,RELATIVE HUMIDITY,WIND DIRECTION (10m),WIND SPEED (10m)
1-Feb-22,0:00:00,1/2/2022 0:00,0.564,0,0,0,25,67.9,84.8,31,3.8
1-Feb-22,0:30:00,1/2/2022 0:30,0.471,0,0,0,24.7,79.1,84.9,33,4.2
1-Feb-22,1:00:00,1/2/2022 1:00,0.417,0,0,0,24.5,81.1,84.8,36,4.4
1-Feb-22,1:30:00,1/2/2022 1:30,0.425,0,0,0,24.2,64.2,85.5,38,4.3
1-Feb-22,2:00:00,1/2/2022 2:00,0.419,0,0,0,24.1,66.4,86.9,40,4.1
1-Feb-22,2:30:00,1/2/2022 2:30,0.423,0,0,0,23.9,45.2,88,42,4
1-Feb-22,3:00:00,1/2/2022 3:00,0.422,0,0,0,23.8,79.8,88.9,44,3.9
1-Feb-22,3:30:00,1/2/2022 3:30,0.416,0,0,0,23.8,96.4,89.7,43,3.9
1-Feb-22,4:00:00,1/2/2022 4:00,0.417,0,0,0,23.7,97,90.6,41,3.8
1-Feb-22,4:30:00,1/2/2022 4:30,0.413,0,0,0,23.6,96.6,91.3,41,3.8
1-Feb-22,5:00:00,1/2/2022 5:00,0.437,0,0,0,23.6,94,92.1,41,3.9
1-Feb-22,5:30:00,1/2/2022 5:30,0.401,0,0,0,23.5,90.8,92.6,41,4
1-Feb-22,6:00:00,1/2/2022 6:00,0.417,0,0,0,23.5,84.7,93,42,4
1-Feb-22,6:30:00,1/2/2022 6:30,0.343,0,0,0,23.5,51.7,93.2,42,4
1-Feb-22,7:00:00,1/2/2022 7:00,0.421,0,0,0,23.5,30.7,93.2,40,4
1-Feb-22,7:30:00,1/2/2022 7:30,0.39,0,0,0,23.5,28.4,93,38,3.9
1-Feb-22,8:00:00,1/2/2022 8:00,0.257,0,0,28,23.7,29.4,92.5,38,3.7
1-Feb-22,8:30:00,1/2/2022 8:30,0.25,0,0,104,24.2,21.3,90.6,39,3.8
1-Feb-22,9:00:00,1/2/2022 9:00,0.248,0,0,237,24.9,5.9,87.4,41,4.1
1-Feb-22,9:30:00,1/2/2022 9:30,0.241,0,0,340,25.6,9.3,83.6,42,4.3
1-Feb-22,10:00:00,1/2/2022 10:00,0.242,0,0,484,26.4,2.9,79.5,41,4.5
1-Feb-22,10:30:00,1/2/2022 10:30,0.231,0,0,544,27.1,11.1,75.6,41,4.5
1-Feb-22,11:00:00,1/2/2022 11:00,0.222,0,0,686,27.8,4.1,72,40,4.5
1-Feb-22,11:30:00,1/2/2022 11:30,0.229,0,0,800,28.5,0,68.5,37,4.2
1-Feb-22,12:00:00,1/2/2022 12:00,0.275,0,0,872,29.2,0,65.2,31,3.8
1-Feb-22,12:30:00,1/2/2022 12:30,0.276,0,0,927,29.8,0,62.7,25,3.4
1-Feb-22,13:00:00,1/2/2022 13:00,0.275,0,0,962,30.3,0.1,60.9,16,2.9
1-Feb-22,13:30:00,1/2/2022 13:30,0.254,0,0,895,30.6,8.7,59.5,12,2.6
1-Feb-22,14:00:00,1/2/2022 14:00,0.277,0,0,890,30.8,8.9,58.6,13,2.4
1-Feb-22,14:30:00,1/2/2022 14:30,0.742,0,0,906,30.9,5.1,57.6,9,2.2
1-Feb-22,15:00:00,1/2/2022 15:00,1.326,0,0,871,31,4.6,56.5,358,2.1
1-Feb-22,15:30:00,1/2/2022 15:30,1.299,0,0,791,31,7.2,56.1,343,2.1
1-Feb-22,16:00:00,1/2/2022 16:00,1.322,0,0,751,30.8,3.1,56.3,325,2.4
1-Feb-22,16:30:00,1/2/2022 16:30,1.281,0,0,635,30.5,7.1,57.9,309,2.9
1-Feb-22,17:00:00,1/2/2022 17:00,0.598,0,0,466,30.1,19.3,60.9,295,3.5
1-Feb-22,17:30:00,1/2/2022 17:30,0.268,0,0,320,29.6,30.5,64.8,289,4.1
