DATE,TIME,DATE & TIME,IMPORT,EXPORT,NORMALISED GHI,GHI,AIR TEMP,CLOUD OPACITY,RELATIVE HUMIDITY,WIND DIRECTION (10m),WIND SPEED (10m)
1-Jan-22,0:00:00,1/1/2022 0:00,0.343,0,0,0,23.2,92.9,98,18,2.3
1-Jan-22,0:30:00,1/1/2022 0:30,0.343,0,0,0,23.2,94.6,98.1,21,2
1-Jan-22,1:00:00,1/1/2022 1:00,0.416,0,0,0,23.2,92.1,98,30,2
1-Jan-22,1:30:00,1/1/2022 1:30,0.265,0,0,0,23.2,90.1,97.7,34,2.3
1-Jan-22,2:00:00,1/1/2022 2:00,0.326,0,0,0,23,95.2,97.4,33,2.9
1-Jan-22,2:30:00,1/1/2022 2:30,0.279,0,0,0,22.9,89.1,97.2,30,3.1
1-Jan-22,3:00:00,1/1/2022 3:00,0.246,0,0,0,22.9,93.5,97.2,26,2.8
1-Jan-22,3:30:00,1/1/2022 3:30,0.226,0,0,0,22.9,84.5,97,19,2.7
1-Jan-22,4:00:00,1/1/2022 4:00,0.24,0,0,0,22.9,76.6,96.7,11,2.6
1-Jan-22,4:30:00,1/1/2022 4:30,0.159,0,0,0,23,85.8,96.4,9,2.6
1-Jan-22,5:00:00,1/1/2022 5:00,0.257,0,0,0,23,95.3,96.1,13,2.6
1-Jan-22,5:30:00,1/1/2022 5:30,0.196,0,0,0,23,87.8,95.8,11,2.6
1-Jan-22,6:00:00,1/1/2022 6:00,0.194,0,0,0,23,84.9,95.6,3,2.7
1-Jan-22,6:30:00,1/1/2022 6:30,0.208,0,0,0,23.1,88.6,95.5,3,2.8
1-Jan-22,7:00:00,1/1/2022 7:00,0.163,0,0,0,23.1,95,95.5,9,2.9
1-Jan-22,7:30:00,1/1/2022 7:30,0.324,0,0,0,23.1,96.2,95.8,12,3
1-Jan-22,8:00:00,1/1/2022 8:00,0.194,0,0,19,23.1,74.6,96.3,12,3
1-Jan-22,8:30:00,1/1/2022 8:30,0.239,0,0,20,23.2,87.5,96.3,16,2.9
1-Jan-22,9:00:00,1/1/2022 9:00,0.194,0,0,24,23.4,91.6,95.7,24,3
1-Jan-22,9:30:00,1/1/2022 9:30,0.2,0,0,39,23.6,90.6,95.2,31,3.2
1-Jan-22,10:00:00,1/1/2022 10:00,0.217,0,0,52,23.8,89.9,94.6,36,3.5
1-Jan-22,10:30:00,1/1/2022 10:30,0.226,0,0,82,23.9,87,94.4,37,3.5
1-Jan-22,11:00:00,1/1/2022 11:00,0.326,0,0,174,23.9,75.8,94.4,36,3.2
1-Jan-22,11:30:00,1/1/2022 11:30,0.397,0,0,216,24,72.7,94.1,32,3
1-Jan-22,12:00:00,1/1/2022 12:00,0.474,0,0,372,24.2,56.4,93.7,28,2.9
1-Jan-22,12:30:00,1/1/2022 12:30,0.287,0,0,298,24.5,66.6,92.7,24,3
1-Jan-22,13:00:00,1/1/2022 13:00,0.271,0,0,68,24.8,92.6,91.4,22,3.2
1-Jan-22,13:30:00,1/1/2022 13:30,0.255,0,0,67,25.2,92.8,89.9,24,3.3
1-Jan-22,14:00:00,1/1/2022 14:00,0.28,0,0,104,25.4,88.6,88.5,28,3.4
1-Jan-22,14:30:00,1/1/2022 14:30,0.296,0,0,170,25.3,80.8,88.8,30,3.5
1-Jan-22,15:00:00,1/1/2022 15:00,0.333,0,0,139,24.8,83.3,90.8,31,3.6
1-Jan-22,15:30:00,1/1/2022 15:30,0.282,0,0,142,24.6,81.5,91.2,31,3.8
1-Jan-22,16:00:00,1/1/2022 16:00,0.27,0,0,125,24.9,81.9,89.9,32,3.9
1-Jan-22,16:30:00,1/1/2022 16:30,0.235,0,0,89,24.9,85.2,89.7,32,3.9
1-Jan-22,17:00:00,1/1/2022 17:00,0.691,0,0,41,24.7,91.7,90.3,33,3.8
1-Jan-22,17:30:00,1/1/2022 17:30,0.341,0,0,41,24.5,89.3,90.8,34,3.7
1-Jan-22,18:00:00,1/1/2022 18:00,0.28,0,0,15,24.4,94.5,91.3,35,3.6
1-Jan-22,18:30:00,1/1/2022 18:30,0.221,0,0,12,24.2,91.1,91.5,34,3.7
1-Jan-22,19:00:00,1/1/2022 19:00,0.502,0,0,13,24,76.4,91.6,32,4
1-Jan-22,19:30:00,1/1/2022 19:30,0.799,0,0,1,23.9,80.5,91.8,32,4
1-Jan-22,20:00:00,1/1/2022 20:00,0.612,0,0,0,23.9,84.4,92.3,33,3.9
1-Jan-22,20:30:00,1/1/2022 20:30,0.323,0,0,0,23.9,91.7,92.4,34,3.9
1-Jan-22,21:00:00,1/1/2022 21:00,1.02,0,0,0,23.8,94.7,92.4,35,4
1-Jan-22,21:30:00,1/1/2022 21:30,0.727,0,0,0,23.7,91.7,92.4,38,3.9
1-Jan-22,22:00:00,1/1/2022 22:00,0.663,0,0,0,23.7,87.7,92.6,42,3.6
1-Jan-22,22:30:00,1/1/2022 22:30,0.393,0,0,0,23.6,68.7,93.2,42,3.5
1-Jan-22,23:00:00,1/1/2022 23:00,0.382,0,0,0,23.4,76.1,94.1,37,3.7
1-Jan-22,23:30:00,1/1/2022 23:30,0.312,0,0,0,23.2,90.4,95,33,3.8
2-Jan-22,0:00:00,2/1/2022 0:00,0.295,0,0,0,23.1,88.6,96,29,3.8
2-Jan-22,0:30:00,2/1/2022 0:30,0.465,0,0,0,23,73.6,96.3,32,3.8
2-Jan-22,1:00:00,2/1/2022 1:00,0.436,0,0,0,23,84.6,95.9,40,3.7
2-Jan-22,1:30:00,2/1/2022 1:30,0.294,0,0,0,23,79,95.6,42,3.6
2-Jan-22,2:00:00,2/1/2022 2:00,0.228,0,0,0,23,85.6,95.4,38,3.4
2-Jan-22,2:30:00,2/1/2022 2:30,0.229,0,0,0,22.9,79.9,95.4,32,3.2
2-Jan-22,3:00:00,2/1/2022 3:00,0.181,0,0,0,22.9,72.1,95.6,26,3
2-Jan-22,3:30:00,2/1/2022 3:30,0.238,0,0,0,22.9,76,95.5,22,2.8
2-Jan-22,4:00:00,2/1/2022 4:00,0.178,0,0,0,22.9,79.3,95.4,20,2.6
2-Jan-22,4:30:00,2/1/2022 4:30,0.243,0,0,0,23,91.3,95.2,16,2.5
2-Jan-22,5:00:00,2/1/2022 5:00,0.189,0,0,0,23.1,96.5,95.2,10,2.5
2-Jan-22,5:30:00,2/1/2022 5:30,0.217,0,0,0,23.1,97,95,8,2.4
2-Jan-22,6:00:00,2/1/2022 6:00,0.191,0,0,0,23.2,96.3,94.7,10,2.3
2-Jan-22,6:30:00,2/1/2022 6:30,0.176,0,0,0,23.2,91.7,94.4,9,2.3
2-Jan-22,7:00:00,2/1/2022 7:00,0.243,0,0,0,23.3,91.4,94.2,6,2.4
2-Jan-22,7:30:00,2/1/2022 7:30,0.166,0,0,1,23.3,89,94,5,2.4
2-Jan-22,8:00:00,2/1/2022 8:00,0.345,0,0,16,23.3,76.8,93.8,4,2.1
2-Jan-22,8:30:00,2/1/2022 8:30,0.21,0,0,25,23.3,84.9,93.4,4,2
2-Jan-22,9:00:00,2/1/2022 9:00,0.246,0,0,25,23.4,91.1,93,4,1.9
2-Jan-22,9:30:00,2/1/2022 9:30,0.248,0,0,46,23.6,89.1,92.2,1,2
2-Jan-22,10:00:00,2/1/2022 10:00,0.256,0,0,98,23.8,81.1,91.3,355,2.1
2-Jan-22,10:30:00,2/1/2022 10:30,0.188,0,0,77,24,87.6,90.4,354,2.3
2-Jan-22,11:00:00,2/1/2022 11:00,0.277,0,0,97,24.3,86.6,89.7,355,2.4
2-Jan-22,11:30:00,2/1/2022 11:30,0.192,0,0,116,24.5,85.4,88.9,350,2.6
2-Jan-22,12:00:00,2/1/2022 12:00,0.333,0,0,45,24.9,94.7,88,341,2.9
2-Jan-22,12:30:00,2/1/2022 12:30,0.206,0,0,43,25.2,95.2,86.8,340,2.9
2-Jan-22,13:00:00,2/1/2022 13:00,0.274,0,0,35,25.5,96.2,85.3,346,2.6
2-Jan-22,13:30:00,2/1/2022 13:30,0.417,0,0,41,25.5,95.6,85.2,345,2.3
2-Jan-22,14:00:00,2/1/2022 14:00,0.223,0,0,135,25.3,85.5,86.4,336,2
