DATE,TIME,DATE & TIME,IMPORT,EXPORT,NORMALISED GHI,GHI,AIR TEMP,CLOUD OPACITY,RELATIVE HUMIDITY,WIND DIRECTION (10m),WIND SPEED (10m)
1-Jun-22,0:00:00,1/6/2022 0:00,0.333,0,0,0,26.7,16.7,78.6,322,2.7
1-Jun-22,0:30:00,1/6/2022 0:30,0.289,0,0,0,26.6,14.6,78.3,318,2.8
1-Jun-22,1:00:00,1/6/2022 1:00,0.601,0,0,0,26.6,16.8,78,313,3
1-Jun-22,1:30:00,1/6/2022 1:30,0.403,0,0,0,26.5,18.6,77.9,310,3.3
1-Jun-22,2:00:00,1/6/2022 2:00,0.55,0,0,0,26.5,18.3,78.1,307,3.5
1-Jun-22,2:30:00,1/6/2022 2:30,0.484,0,0,0,26.4,15.7,78.6,307,3.6
1-Jun-22,3:00:00,1/6/2022 3:00,0.275,0,0,0,26.2,15.8,79.5,310,3.5
1-Jun-22,3:30:00,1/6/2022 3:30,0.266,0,0,0,26,19.3,80.7,313,3.3
1-Jun-22,4:00:00,1/6/2022 4:00,0.276,0,0,0,25.7,16.6,82.2,315,3.1
1-Jun-22,4:30:00,1/6/2022 4:30,0.25,0,0,0,25.5,28.6,82.8,318,3
1-Jun-22,5:00:00,1/6/2022 5:00,0.397,0,0,0,25.4,36.9,82.4,322,2.8
1-Jun-22,5:30:00,1/6/2022 5:30,0.339,0,0,0,25.4,44,82.6,323,2.7
1-Jun-22,6:00:00,1/6/2022 6:00,0.3,0,0,0,25.3,52.3,83.1,321,2.8
1-Jun-22,6:30:00,1/6/2022 6:30,0.209,0,0,0,25.3,57.6,83.9,322,2.7
1-Jun-22,7:00:00,1/6/2022 7:00,0.272,0,0,0,25.2,69.2,84.8,326,2.5
1-Jun-22,7:30:00,1/6/2022 7:30,0.254,0,0.0196,12,25.3,54.2,85,327,2.4
1-Jun-22,8:00:00,1/6/2022 8:00,0.184,0,0.1616,99,25.8,4.4,84.6,324,2.3
1-Jun-22,8:30:00,1/6/2022 8:30,0.129,0,0.2921,179,26.3,12.3,83,323,2.3
1-Jun-22,9:00:00,1/6/2022 9:00,0.015,0.098,0.3721,228,27.1,29.6,80.5,322,2.4
1-Jun-22,9:30:00,1/6/2022 9:30,0,0.436,0.6431,394,27.8,8.8,77.4,319,2.4
1-Jun-22,10:00:00,1/6/2022 10:00,0,0.754,0.8405,515,28.5,4.2,73.9,315,2.5
1-Jun-22,10:30:00,1/6/2022 10:30,0,0.903,1.0184,624,29.2,1.3,70.4,310,2.6
1-Jun-22,11:00:00,1/6/2022 11:00,0,1.018,1.1164,684,29.9,4.5,66.8,303,2.7
1-Jun-22,11:30:00,1/6/2022 11:30,0.041,1.045,1.1784,722,30.4,8.3,64.4,294,2.8
1-Jun-22,12:00:00,1/6/2022 12:00,0,1.231,1.291,791,30.7,6.1,63,282,3
1-Jun-22,12:30:00,1/6/2022 12:30,0,0.914,1.0397,637,30.9,27.8,62.2,271,3.2
1-Jun-22,13:00:00,1/6/2022 13:00,0,0.707,1.0788,661,30.9,26.9,62,263,3.5
1-Jun-22,13:30:00,1/6/2022 13:30,0,1.083,1.1621,712,30.9,21.7,62.2,258,3.8
1-Jun-22,14:00:00,1/6/2022 14:00,0,1.291,1.2502,766,30.9,14.6,62.7,255,4
1-Jun-22,14:30:00,1/6/2022 14:30,0,0.938,1.087,666,30.8,23.2,63.3,254,4.2
1-Jun-22,15:00:00,1/6/2022 15:00,0.268,0.073,0.7622,467,30.6,43.3,64,252,4.2
1-Jun-22,15:30:00,1/6/2022 15:30,1.008,0,0.1926,118,30.5,84.7,64.7,251,4.1
1-Jun-22,16:00:00,1/6/2022 16:00,0.99,0,0.0392,24,30.3,96.4,65.2,250,4
1-Jun-22,16:30:00,1/6/2022 16:30,0.599,0.006,0.1926,118,30.2,79.6,65.7,250,3.8
1-Jun-22,17:00:00,1/6/2022 17:00,0.111,0,0.3346,205,30,58,66.3,250,3.6
1-Jun-22,17:30:00,1/6/2022 17:30,0.073,0.003,0.2791,171,29.8,55.1,67.6,252,3.3
1-Jun-22,18:00:00,1/6/2022 18:00,0.012,0.046,0.1942,119,29.5,56.1,69.9,255,2.8
1-Jun-22,18:30:00,1/6/2022 18:30,0.052,0.022,0.1061,65,29,59.3,72.4,262,2.4
1-Jun-22,19:00:00,1/6/2022 19:00,0.287,0,0.0294,18,28.3,69.9,75.3,274,2
1-Jun-22,19:30:00,1/6/2022 19:30,1.444,0,0.0016,1,27.8,71.6,76.4,280,1.8
1-Jun-22,20:00:00,1/6/2022 20:00,1.395,0,0,0,27.6,84.4,75.7,277,1.9
1-Jun-22,20:30:00,1/6/2022 20:30,1.37,0,0,0,27.5,72.9,75.5,276,1.9
1-Jun-22,21:00:00,1/6/2022 21:00,1.382,0,0,0,27.4,74.9,75.8,278,1.8
1-Jun-22,21:30:00,1/6/2022 21:30,1.379,0,0,0,27.3,59.7,76.1,283,1.6
1-Jun-22,22:00:00,1/6/2022 22:00,1.07,0,0,0,27.1,44,76.4,293,1.4
1-Jun-22,22:30:00,1/6/2022 22:30,0.753,0,0,0,27,43.9,76.8,307,1.2
1-Jun-22,23:00:00,1/6/2022 23:00,0.696,0,0,0,26.9,42.2,77.3,324,1.2
1-Jun-22,23:30:00,1/6/2022 23:30,0.438,0,0,0,26.8,42.4,78,342,1.3
2-Jun-22,0:00:00,2/6/2022 0:00,0.353,0,0,0,26.6,38.3,78.9,358,1.6
2-Jun-22,0:30:00,2/6/2022 0:30,0.328,0,0,0,26.4,34.5,79.6,2,1.7
2-Jun-22,1:00:00,2/6/2022 1:00,0.543,0,0,0,26.2,41.4,80,359,1.6
2-Jun-22,1:30:00,2/6/2022 1:30,0.484,0,0,0,26.1,43.3,80.3,356,1.4
2-Jun-22,2:00:00,2/6/2022 2:00,0.241,0,0,0,25.9,43.9,80.7,351,1.1
2-Jun-22,2:30:00,2/6/2022 2:30,0.3,0,0,0,25.8,34.5,80.7,336,0.9
2-Jun-22,3:00:00,2/6/2022 3:00,0.295,0,0,0,25.8,32.1,80.3,310,0.9
2-Jun-22,3:30:00,2/6/2022 3:30,0.254,0,0,0,25.8,38.1,79.7,292,1
2-Jun-22,4:00:00,2/6/2022 4:00,0.659,0,0,0,25.9,25.9,78.9,279,1
2-Jun-22,4:30:00,2/6/2022 4:30,0.31,0,0,0,25.9,34,78.4,276,0.9
2-Jun-22,5:00:00,2/6/2022 5:00,0.292,0,0,0,25.9,35.8,78.3,284,0.7
2-Jun-22,5:30:00,2/6/2022 5:30,0.572,0,0,0,25.8,36.7,78.2,296,0.6
2-Jun-22,6:00:00,2/6/2022 6:00,0.521,0,0,0,25.8,52.5,78.3,311,0.5
2-Jun-22,6:30:00,2/6/2022 6:30,0.271,0,0,0,25.5,54.2,79.7,333,0.4
2-Jun-22,7:00:00,2/6/2022 7:00,0.269,0,0,0,25.2,38.2,82.3,3,0.3
2-Jun-22,7:30:00,2/6/2022 7:30,0.265,0,0.0245,15,25.1,39,83.8,1,0.5
2-Jun-22,8:00:00,2/6/2022 8:00,0.181,0,0.1436,88,25.3,14.8,84,347,0.8
2-Jun-22,8:30:00,2/6/2022 8:30,0.022,0.061,0.2089,128,25.8,39.3,83.1,332,1
2-Jun-22,9:00:00,2/6/2022 9:00,0,0.206,0.3884,238,26.4,27.2,81.2,309,1.1
2-Jun-22,9:30:00,2/6/2022 9:30,0,0.604,0.6561,402,27.2,8,78.5,283,1.3
2-Jun-22,10:00:00,2/6/2022 10:00,0.009,0.455,0.7671,470,28,12.7,75,263,1.8
2-Jun-22,10:30:00,2/6/2022 10:30,0.001,0.687,0.9058,555,28.6,13,71.1,252,2.5
2-Jun-22,11:00:00,2/6/2022 11:00,0,0.782,1.0168,623,29.2,13.7,67,246,3.3
2-Jun-22,11:30:00,2/6/2022 11:30,0,0.878,1.0641,652,29.4,17.9,64.9,244,3.9
2-Jun-22,12:00:00,2/6/2022 12:00,0.018,1.01,1.1947,732,29.5,13.8,64.6,245,4.1
2-Jun-22,12:30:00,2/6/2022 12:30,0,0.896,1.3367,819,29.6,7.8,64.4,247,4.1
2-Jun-22,13:00:00,2/6/2022 13:00,0,1.137,1.3514,828,29.7,9.1,64.5,250,4
2-Jun-22,13:30:00,2/6/2022 13:30,0.002,1.013,1.4346,879,29.8,4,64.3,254,3.9
2-Jun-22,14:00:00,2/6/2022 14:00,0.18,0.213,1.3465,825,30.1,8.5,63.9,258,3.8
2-Jun-22,14:30:00,2/6/2022 14:30,0.09,0.149,1.2796,784,30.2,10,63.7,261,3.7
2-Jun-22,15:00:00,2/6/2022 15:00,0.084,0.879,1.198,734,30.3,10.8,63.7,261,3.5
2-Jun-22,15:30:00,2/6/2022 15:30,0.045,0.388,1.198,734,30.3,3.5,63.8,261,3.4
2-Jun-22,16:00:00,2/6/2022 16:00,0.064,0.222,1.0592,649,30.2,5.3,64.1,262,3.3
2-Jun-22,16:30:00,2/6/2022 16:30,0,0.66,0.9156,561,30.1,5.4,65.1,264,3.2
2-Jun-22,17:00:00,2/6/2022 17:00,0.455,0.155,0.6741,413,29.7,16.8,66.9,267,3
2-Jun-22,17:30:00,2/6/2022 17:30,0.684,0.018,0.3933,241,29.5,38.5,68.8,272,2.7
2-Jun-22,18:00:00,2/6/2022 18:00,0.061,0.008,0.1306,80,29.3,72,70.8,281,2.3
2-Jun-22,18:30:00,2/6/2022 18:30,0.181,0,0.0555,34,28.9,78.5,73.2,291,2.1
2-Jun-22,19:00:00,2/6/2022 19:00,0.387,0,0.0277,17,28.3,67.4,75.8,301,2.1
2-Jun-22,19:30:00,2/6/2022 19:30,1.402,0,0.0033,2,27.8,59.9,75.8,297,1.6
2-Jun-22,20:00:00,2/6/2022 20:00,1.445,0,0,0,27.5,84.7,73.1,257,1
2-Jun-22,20:30:00,2/6/2022 20:30,1.457,0,0,0,27.3,89.4,72.1,232,1.1
2-Jun-22,21:00:00,2/6/2022 21:00,1.448,0,0,0,27.1,84.3,72.7,239,1.2
2-Jun-22,21:30:00,2/6/2022 21:30,1.439,0,0,0,27,90,73.4,243,1
