DATE,TIME,DATE & TIME,IMPORT,EXPORT,NORMALISED GHI,GHI,AIR TEMP,CLOUD OPACITY,RELATIVE HUMIDITY,WIND DIRECTION (10m),WIND SPEED (10m)
1-Mar-22,0:00:00,1/3/2022 0:00,0.387,0,0,0,24.4,41.1,90,49,5.1
1-Mar-22,0:30:00,1/3/2022 0:30,0.438,0,0,0,24.4,33.8,90.2,47,5.1
1-Mar-22,1:00:00,1/3/2022 1:00,0.277,0,0,0,24.3,42.7,90.2,44,5.1
1-Mar-22,1:30:00,1/3/2022 1:30,0.251,0,0,0,24.2,25,90.4,43,5
1-Mar-22,2:00:00,1/3/2022 2:00,0.26,0,0,0,24.1,23.4,90.8,42,4.8
1-Mar-22,2:30:00,1/3/2022 2:30,0.248,0,0,0,24,24.9,90.9,42,4.6
1-Mar-22,3:00:00,1/3/2022 3:00,0.249,0,0,0,24,21.1,90.6,43,4.2
1-Mar-22,3:30:00,1/3/2022 3:30,0.261,0,0,0,23.9,20.8,90.8,44,4
1-Mar-22,4:00:00,1/3/2022 4:00,0.264,0,0,0,23.8,27.4,91.6,45,3.9
1-Mar-22,4:30:00,1/3/2022 4:30,0.38,0,0,0,23.7,34.6,92.1,46,3.8
1-Mar-22,5:00:00,1/3/2022 5:00,0.235,0,0,0,23.6,34.4,92.2,47,3.9
1-Mar-22,5:30:00,1/3/2022 5:30,0.367,0,0,0,23.5,33.5,92.4,47,4
1-Mar-22,6:00:00,1/3/2022 6:00,0.224,0,0,0,23.5,25.7,92.7,46,4.1
1-Mar-22,6:30:00,1/3/2022 6:30,0.263,0,0,0,23.4,24.7,92.8,46,4.1
1-Mar-22,7:00:00,1/3/2022 7:00,0.232,0,0,0,23.4,30.7,92.7,47,4.1
1-Mar-22,7:30:00,1/3/2022 7:30,0.25,0,0.0016,1,23.4,31.3,92.5,47,3.9
1-Mar-22,8:00:00,1/3/2022 8:00,0.278,0,0.0398,25,23.5,40.9,92.1,48,3.6
1-Mar-22,8:30:00,1/3/2022 8:30,0.184,0,0.0876,55,23.9,63.6,90.6,46,3.5
1-Mar-22,9:00:00,1/3/2022 9:00,0.106,0.001,0.0765,48,24.5,82.1,87.9,40,3.5
