DATE,TIME,DATE & TIME,IMPORT,EXPORT,NORMALISED GHI,GHI,AIR TEMP,CLOUD OPACITY,RELATIVE HUMIDITY,WIND DIRECTION (10m),WIND SPEED (10m)
1-May-22,0:00:00,1/5/2022 0:00,0.758,0,0,0,26.2,49.8,88.2,320,1.6
1-May-22,0:30:00,1/5/2022 0:30,,,0,0,26.1,51.5,88.3,311,1.6
1-May-22,1:00:00,1/5/2022 1:00,,,0,0,25.9,62.4,88.2,299,1.7
1-May-22,1:30:00,1/5/2022 1:30,,,0,0,25.9,81,88,298,1.8
1-May-22,2:00:00,1/5/2022 2:00,,,0,0,25.9,69.2,87.6,305,1.8
1-May-22,2:30:00,1/5/2022 2:30,,,0,0,25.9,49.5,87.1,313,1.7
1-May-22,3:00:00,1/5/2022 3:00,,,0,0,26,47.4,86.4,322,1.5
1-May-22,3:30:00,1/5/2022 3:30,,,0,0,26,53,86.2,332,1.4
1-May-22,4:00:00,1/5/2022 4:00,,,0,0,25.9,38.3,86.6,340,1.4
1-May-22,4:30:00,1/5/2022 4:30,,,0,0,25.8,44.3,86.9,344,1.4
1-May-22,5:00:00,1/5/2022 5:00,,,0,0,25.6,50.6,87.3,346,1.3
1-May-22,5:30:00,1/5/2022 5:30,,,0,0,25.5,58.8,87.6,356,1.1
1-May-22,6:00:00,1/5/2022 6:00,,,0,0,25.4,51.2,88,18,1
1-May-22,6:30:00,1/5/2022 6:30,,,0,0,25.3,63.6,88.7,40,1
1-May-22,7:00:00,1/5/2022 7:00,,,0,0,25.1,31.6,89.6,60,1.1
1-May-22,7:30:00,1/5/2022 7:30,,,0,11,25.1,27.6,89.5,69,1
1-May-22,8:00:00,1/5/2022 8:00,,,0,69,25.5,39.1,88.5,70,0.8
1-May-22,8:30:00,1/5/2022 8:30,,,0,210,25.8,4.9,87.4,69,0.7
1-May-22,9:00:00,1/5/2022 9:00,,,0,264,26,22.3,86.4,67,0.7
1-May-22,9:30:00,1/5/2022 9:30,,,0,367,26.4,19.2,85.2,75,0.6
1-May-22,10:00:00,1/5/2022 10:00,,,0,273,26.7,51.6,84,106,0.5
1-May-22,10:30:00,1/5/2022 10:30,,,0,219,27,67.2,82.9,158,0.6
1-May-22,11:00:00,1/5/2022 11:00,,,0,170,27.3,77.4,82,183,1.2
1-May-22,11:30:00,1/5/2022 11:30,,,0,47,27.6,94.3,80.9,188,1.5
1-May-22,12:00:00,1/5/2022 12:00,,,0,32,27.9,96.4,79.6,188,1.6
1-May-22,12:30:00,1/5/2022 12:30,,,0,40,28.2,95.7,78,195,1.5
1-May-22,13:00:00,1/5/2022 13:00,,,0,184,28.5,80.9,76.3,211,1.3
1-May-22,13:30:00,1/5/2022 13:30,,,0,250,28.5,74.1,75.8,230,1
1-May-22,14:00:00,1/5/2022 14:00,,,0,247,28.4,74,76.4,268,0.7
1-May-22,14:30:00,1/5/2022 14:30,,,0,252,28.5,72.6,75.5,302,0.7
1-May-22,15:00:00,1/5/2022 15:00,,,0,280,28.9,67.7,73.4,314,0.9
1-May-22,15:30:00,1/5/2022 15:30,,,0,330,29.2,58.8,71.9,315,1
